"","College","Season","Coach","username","Coach.1","Role","Race"
"219","Auburn",2018,"Chip Lindsey","chip-lindsey","Chip Lindsey","Offensive Coordinator/Quarterbacks Coach","White"
"220","Auburn",2018,"Kodi Burns","kodi-burns","Kodi Burns","Offensive Coordinator/Wide Receivers Coach","Black"
"221","Auburn",2019,"Kenny Dillingham","kenny-dillingham","Kenny Dillingham","Offensive Coordinator/Quarterbacks Coach","White"
"222","Auburn",2020,"Chad Morris","chad-morris","Chad Morris","Offensive Coordinator/Quarterbacks Coach","White"
"223","Auburn",2021,"Mike Bobo","mike-bobo","Mike Bobo","Offensive Coordinator","White"
"224","Ball State",2001,"Ted Huber","ted-huber","Ted Huber","Offensive Line Coach/Recruiting Coordinator","White"
"225","Ball State",2002,"Rich Spisak","rich-spisak","Rich Spisak","Offensive Coordinator/Tight Ends Coach","White"
"226","Ball State",2003,"Don Treadwell","don-treadwell","Don Treadwell","Offensive Coordinator/Wide Receivers Coach","White"
"227","Ball State",2004,"Ed Stults","ed-stults","Ed Stults","Offensive Coordinator/Tight Ends Coach/Offensive Line Coach","White"
"228","Ball State",2005,"Ed Stults","ed-stults","Ed Stults","Offensive Coordinator/Tight Ends Coach/Offensive Line Coach","White"
"229","Ball State",2006,"Stan Parrish","stan-parrish","Stan Parrish","Offensive Coordinator/Quarterbacks Coach","White"
"230","Ball State",2007,"Eddie Faulkner","eddie-faulkner","Eddie Faulkner","Offensive Coordinator/Running Backs Coach","Black"
"231","Ball State",2007,"Stan Parrish","stan-parrish","Stan Parrish","Offensive Coordinator/Quarterbacks Coach","White"
"232","Ball State",2008,"Stan Parrish","stan-parrish","Stan Parrish","Offensive Coordinator/Quarterbacks Coach","White"
