"","variable","betweenness","closeness","degree","eigen","Race","Race == ..."
"845","Monte Kiffin",0,4.88679733962753e-07,1,3.99014204098381e-05,"White",TRUE
"846","Sal Sunseri",0,4.88679733962753e-07,1,5.03820161472154e-05,"White",TRUE
"847","Derrick Ansley",0,4.88679733962753e-07,1,5.30586451646541e-05,"Black",TRUE
"848","Coleman Hutzler",0,4.88679733962753e-07,1,0.000142745611591884,"White",TRUE
"849","Jeff Choate",0,4.88679733962753e-07,1,0.000198728418707677,"White",TRUE
"850","Archie McDaniel",0,4.88679733962753e-07,1,1.96391116916912e-05,"Black",TRUE
"851","Zac Spavital",0,4.88679733962753e-07,1,3.92782233833978e-05,"White",TRUE
"852","Mike Smith",0,4.88679733962753e-07,1,7.04235197092924e-05,"White",TRUE
"853","Lou West",0,4.88679733962753e-07,1,1.82572732414468e-06,"Black",TRUE
"854","Paul Nichols",0,4.88679733962753e-07,1,0.000255961266043235,"White",TRUE
"855","Tom Matukewicz",0,4.88679733962753e-07,1,1.56868599339043e-05,"White",TRUE
"856","Vince Kehres",0,4.88679733962753e-07,1,2.00978965980677e-05,"White",TRUE
"857","Jeremy Rowell",0,4.88679733962753e-07,1,0.000129402777315335,"White",TRUE
"858","Ricky Logo",0,4.88679733962753e-07,1,1.6175347164404e-05,"Other",TRUE
"859","Mike Pelton",0,4.88679733962753e-07,1,1.61753471644059e-05,"Black",TRUE
"860","Brandon Hall",0,4.88679733962753e-07,1,3.17583253312479e-05,"White",TRUE
"861","Pete McGinnis",0,4.88679733962753e-07,1,6.53987006454209e-06,"White",TRUE
"862","O Neill Gilbert",0,4.88679733962753e-07,1,0.000179603339209358,"White",NA
"863","Lionel Washington",0,4.88679733962753e-07,1,7.47112810098595e-06,"Black",TRUE
"864","Jason Rollins",0,4.88679733962753e-07,2,1.09371340470017e-05,"Black",TRUE
"865","Chris Hampton",0,4.88679733962753e-07,1,5.84794365663418e-07,"Black",TRUE
"866","Jeff McInerney",0,4.88679733962753e-07,1,1.10859230911231e-06,"White",TRUE
"867","Mark Nelson",0,4.88679733962753e-07,1,5.86821321545464e-06,"White",TRUE
"868","Joseph Gillespie",0,4.88679733962753e-07,1,7.62256804529888e-05,"White",TRUE
"869","Rick Christophel",0,4.88679733962753e-07,1,1.75131383332956e-05,"White",TRUE
